title,servings,prep time
Classic Pancakes,4,15
Banana Oatmeal Muffins,12,20
Avocado Toast,2,10
Greek Salad,4,15
Chicken Curry,6,30
Beef Stroganoff,4,45
Vegetable Stir Fry,4,20
Lemon Herb Salmon,2,25
Quinoa Salad,4,15
Shrimp Tacos,4,20
Tomato Basil Soup,4,30
Chocolate Chip Cookies,24,25
Blueberry Smoothie,2,5
Garlic Butter Shrimp,4,15
Vegan Buddha Bowl,2,25
Mushroom Risotto,4,35
Turkey Meatballs,6,30
Spinach Artichoke Dip,8,20
Zucchini Noodles,2,10
Sweet Potato Fries,4,40
Lentil Soup,6,35
Beef Chili,8,60
Chicken Alfredo,4,25
Cauliflower Rice,4,15
Broccoli Cheddar Soup,4,30
Fish and Chips,2,45
Eggplant Parmesan,4,50
Tofu Stir Fry,4,20
Black Bean Burgers,4,30
Coconut Curry,4,40
Apple Pie,8,50
Grilled Cheese Sandwich,2,10
Cauliflower Pizza,4,45
Beef Tacos,4,20
Greek Yogurt Parfait,2,10
Banana Bread,8,60
Thai Green Curry,4,30
Pad Thai,2,25
Miso Soup,2,15
Soba Noodles,2,20
Ramen,2,30
Poke Bowl,2,15
Bruschetta,6,15
Gazpacho,4,20
Falafel Wrap,2,25
Hummus Platter,4,10
Shepherd's Pie,6,60
BBQ Ribs,4,120
Pulled Pork Sandwich,4,90
Salmon Patties,4,30
